trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.5, 'e': 0.3161449977179156}",20,3,14.866150238522469,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.3098220977635573}",25,13,19.25699398829135,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.30362565580828615}",25,7,26.3966937079677,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.2975531426921204}",35,3,-18.982544394288528,"{0: 26, 1: 1, 2: 5, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.291602079838278}",20,13,1.821221474021724,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.2857700382415124}",20,13,-7.823773710990188,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.2800546374766822}",30,18,-19.635619399144062,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.27445354472714856}",25,13,9.373422063566888,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.2689644738326056}",25,14,-25.971617476510964,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.26358518435595346}",30,12,-4.17925212030771,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.25831348066883436}",20,2,-54.46373840943749,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.2531472110554577}",25,12,23.274639831360716,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.24808426683434853}",25,17,2.9136759245084933,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.24312258149766156}",25,17,14.51789440886012,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.2382601298677083}",25,17,3.288927601984466,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.23349492727035415}",25,7,8.01836309123681,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.22882502872494706}",20,12,7.932998253911283,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.22424852815044813}",20,8,7.498951461320951,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.21976355758743915}",20,16,10.482284814977206,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.21536828643569036}",20,14,5.333026304563118,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.21106092070697655}",30,18,-19.42226908540494,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.20683970229283702}",25,16,-6.88932251038816,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.20270290824698028}",20,10,20.837473617660542,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.19864885008204067}",20,0,-7.882282716381825,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.19467587308039985}",25,13,-19.13316794510115,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.19078235561879187}",20,7,16.04199944966789,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.18696670850641603}",25,20,9.871601173832854,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.18322737433628772}",30,20,-1.1426343121149691,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.17956282684956196}",20,15,9.750019246350046,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.1759715703125707}",20,9,5.129582841431391,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.1724521389063193}",25,6,18.895780400571574,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.16900309612819292}",20,9,23.666516413153943,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.16562303420562907}",20,9,19.799945922752215,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.16231057352151648}",25,13,-8.131848629907866,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.15906436205108615}",25,7,19.87655331716364,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
